Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
17958,GUMA RANGE,Midlands,Primary,Gweru,P3,-19.34477,29.90774
17959,HERBERT CHITEPO,Midlands,Primary,Gweru,P3,-19.32374,29.71395
17960,HOZHERI,Midlands,Primary,Gweru,P3,-19.36452,30.09724
17961,KUSHINGA,Midlands,Primary,Gweru,P1,-19.44209,29.97783
17962,LOUDOUN,Midlands,Primary,Gweru,P3,-19.20899,29.46542
17963,LUKHULUBA,Midlands,Primary,Gweru,P3,-19.82205,29.61972
17964,JULENA / MADUBEKO,Midlands,Primary,Gweru,P3,-19.54786,29.64045
17965,MANDINDINDI,Midlands,Primary,Gweru,P3,-19.44539,30.05282
17966,MARTIN MADIGANE,Midlands,Primary,Gweru,P3,-19.36603,29.13604
17967,MAZANKWE,Midlands,Primary,Gweru,P3,-19.61113,29.4474
17968,MEYAS I ( NKIWANE) ,Midlands,Primary,Gweru,P3,-19.35441,29.20728
17969,NKENYANE,Midlands,Primary,Gweru,P3,-19.39338,29.68634
17970,RIVERDALE,Midlands,Primary,Gweru,P3,-19.2767,29.67273
17971,SIVU,Midlands,Primary,Gweru,P3,-19.55102,29.33342
17972,BONACCORD,Midlands,Primary,Kwekwe,P3,-19.13361,29.638
